file,grupo,tipo_gestion,contacto_efectivo,de_donde_llaman,origen_deuda,monto_total_actual_cop,descuento_pct,descuento_monto_cop,valor_a_pagar_cop,n_cuotas,fecha_max_pago,fecha_pago_acordada,comparte_medios_pago,cliente_puede_pagar,objecion_cliente,tipo_objecion,alternativa_propuesta,resultado_llamada,caso_exito,quien_corta_la_llamada,motivo_fin_llamada,confianza_extraccion,notas,tono_inicial_cliente,tono_final_cliente,cambio_tono,agente_se_adapta
0445c357-e465-49ae-8067-bfa91d11b532,humano,seguimiento_o_renegociacion,True,,Luxury (dueña actual de la cartera),800000,,100000,799800,6,hoy (cuota original),5 de agosto,True,tal_vez,True,no_tiene_plata,plan de pago reestructurado a 6 cuotas de 133.300 en vez de 2 cuotas de 400.000,cierre_2da_oferta_o_alternativa,True,agente,"acuerdo logrado tras renegociar cuotas, despedida cordial",media,acuerdo original de 800.000 a 2 cuotas ya existía; se renegocia a 6 cuotas por falta de liquidez del cliente,neutral,colaborador,mejora,True
09115a4a-ac50-4425-9dbc-b551a0b5342c,humano,seguimiento_o_renegociacion,True,,,10000000,,,,1,,31 de agosto,True,si,False,,,fecha_acordada_sin_descuento,True,agente,se reconfirma fecha de pago ya comprometida por el cliente en llamada previa,media,menciona 'descuento aprobado' pero no da el número; mucha censura en nombres,colaborador,colaborador,igual,False
0bc9a430-bdcd-44a7-a92d-e71dc33c8ad5,humano,otro,False,,Banco Bogotá,,,,,,,,,no_queda_claro,False,,,no_es_titular,False,cliente,"contesta un tercero (posible familiar); titular no disponible, no se concreta hora de devolución de llamada",alta,,reacio,neutral,igual,
0c6ada7d-d8c5-4840-ae79-0d8d573183dc,humano,otro,False,,,,,,,,,,,no_queda_claro,False,,,otro,False,no_aplica,"llamada cae en contestadora/IVR, no hay conversación humana",alta,"es un mensaje de voicemail/IVR ('grabe su mensaje... para editar marque uno'), no una llamada de gestión real",no_aplica,no_aplica,no_aplica,
0d2d37dd-38a4-40dd-ac62-b430f722ed57,humano,seguimiento_o_renegociacion,True,Logros Factory,,700000,,,700000,2,"31 de julio (original, luego 15 y 18 de agosto)",18 de agosto,True,tal_vez,True,problemas_tecnicos_recibiendo_documento,cliente pregunta si puede pagar las 2 cuotas juntas (700.000) en vez de por separado,fecha_acordada_sin_descuento,True,agente,fecha se reprograma varias veces por problemas para abrir el documento del acuerdo; termina con nueva fecha 18 de agosto,media,"cliente pide explícitamente que no le hagan más rebaja; se le niega, el valor de 700.000 ya estaba aprobado desde julio",molesto,neutral,mejora,True
1c72dd55-acbb-4ebe-a4d7-446cc294a4a1,humano,nueva_oferta,True,casa de cobranza autorizada (nombre censurado),,1229000,,179000,1050000,,,,,tal_vez,True,no_tiene_plata,cliente propone pagar 100.000/mes a 10-12 cuotas en vez de 3 cuotas de 410.000 que ofrece el agente,otro,False,agente,"sin cierre; propuesta del cliente queda pendiente de aprobación por comité, agente se compromete a volver a llamar",alta,oferta con descuento (pago único 1.050.000) vs sin descuento a cuotas; cliente elige cuotas pero no le aprueban el monto que pide,reacio,neutral,igual,True
1e3beb83-824b-4ad5-8483-f4ff6ea3c05e,humano,seguimiento_o_renegociacion,True,,,60000,,,60000,1,15 de agosto,30 de agosto,True,tal_vez,True,no_tiene_plata,,fecha_acordada_sin_descuento,True,agente,"cliente desempleado no pudo pagar en la fecha original, se corre la fecha y se despide cordialmente",alta,agente menciona que ya se había aplicado un descuento previamente sobre la deuda original,colaborador,colaborador,igual,True
1f5cda00-bbf3-4770-97dc-99760ddadc1b,humano,nueva_oferta,True,,banco (nombre censurado),672584,,,672584,1,21 de agosto (viernes),21 de agosto (viernes),True,si,False,,,cierre_1ra_oferta,True,agente,"cliente acepta pagar el total en una sola cuota, se fija fecha y se envía acuerdo por correo",alta,,colaborador,colaborador,igual,False
2a92a64c-6ea8-48a0-b47a-445a3c577199,humano,nueva_oferta,True,Reconectemos,"banco (censurado, tarjeta de crédito) y Lebrazza (crédito)",1148855,,,640000,2,,20-21 de agosto y 20-21 de septiembre,True,tal_vez,True,desconfia_de_la_llamada / no_tiene_plata,"pagar primero solo la obligación pequeña (tarjeta) en 2 cuotas, dejando la obligación grande (Lebrazza) para negociar después",cierre_2da_oferta_o_alternativa,True,agente,tras negociación larga se cierra acuerdo parcial sobre una de las dos obligaciones,baja,"hay cifras inconsistentes en la transcripción (posibles errores de STT) entre el valor total negociado y las cuotas; cliente se queja de recibir llamadas contradictorias de distintos agentes sobre la misma deuda [CORREGIDO en validacion manual: el monto original extraido (47.113.426) era la oferta combinada de las 2 obligaciones que la clienta rechazo por desconfianza; el acuerdo que si se cerro fue solo sobre la tarjeta de credito, saldo 1.148.855, pagada en 2 cuotas de 320.000.]",desconfiado,colaborador,mejora,True
2b377b6a-4fa1-4910-8d68-9ee05f7c302a,humano,nueva_oferta,True,"Daniela (empresa censurada, compró cartera)",banco (censurado),977920,,,977920,3,,"25 de agosto, septiembre y octubre",True,si,True,disputa_monto (reclama un descuento que le ofrecieron en una llamada anterior y ya no está disponible),,cierre_1ra_oferta,True,agente,"cliente acepta plan de 3 cuotas sin descuento, se confirma correo y se despide",alta,,reacio,neutral,igual,
